dateTransfer;datetimeTransfer;clientNumber;transferValue;transferCurrency;transferID;transferLog;destinationBankNumber;destinationBankBranch;destinationBankAccount
2022-12-15;2022-12-15T22:35:02Z;2489;2754.99;dollar $;20223451;;290;2400;86214-9
2022-12-15;2022-12-15T13:57:42Z;5987;6291;dollar $;20223450;;666;6317;83327-7
2022-12-15;2022-12-15T04:21:58Z;4023;4236;zing ƒ;20223449;;33;2400;39618-6
2022-12-15;2022-12-15T01:37:42Z;5188;3651.4;dollar $;20223448;;290;2231;28438-1
2022-12-15;2022-12-15T01:12:55Z;3795;6095;dollar $;20223447;;666;2231;26723-6
2022-12-14;2022-12-14T18:19:31Z;3100;3957;dollar $;20223446;;290;8800;64459-6
2022-12-14;2022-12-14T16:12:23Z;3294;5992;dollar $;20223445;;666;8521;27468-6
2022-12-14;2022-12-14T15:51:20Z;3284;7639.99;british pound £;20223444;;666;2231;40522-0
2022-12-14;2022-12-14T06:53:17Z;1217;5763;british pound £;20223443;;666;1200;81812-3
2022-12-13;2022-12-13T23:44:23Z;5516;992.15;dollar $;20223442;;33;5420;41609-8
2022-12-13;2022-12-13T16:41:48Z;1297;5106.72;british pound £;20223441;;666;5420;58578-8
2022-12-13;2022-12-13T16:21:36Z;5243;5139;zing ƒ;20223440;;290;3321;44132-0
2022-12-13;2022-12-13T12:06:24Z;5832;5876;british pound £;20223439;;33;1002;42088-5
2022-12-12;2022-12-12T17:59:36Z;1297;4036;dollar $;20223438;;666;4078;28615-4
2022-12-12;2022-12-12T17:50:43Z;2727;3721.89;euro €;20223437;;666;1979;44857-5
2022-12-12;2022-12-12T17:04:17Z;2727;9664;zing ƒ;20223436;;666;6317;57297-4
2022-12-12;2022-12-12T06:38:15Z;1121;6621.07;british pound £;20223435;;421;6317;77598-9
2022-12-11;2022-12-11T13:53:41Z;3715;7608;dollar $;20223434;;33;9921;27331-0
2022-12-11;2022-12-11T13:02:53Z;3284;6249;dollar $;20223433;;290;1100;52336-1
2022-12-11;2022-12-11T02:33:24Z;4965;5840.09;dollar $;20223432;;421;8800;74770-7
2022-12-10;2022-12-10T21:04:44Z;4608;7173.41;dollar $;20223431;;33;9921;35373-1
2022-12-10;2022-12-10T20:57:15Z;4965;5243;zing ƒ;20223430;;421;4078;70906-1
2022-12-10;2022-12-10T17:49:27Z;3795;7472.67;dollar $;20223429;;290;2231;33813-0
2022-12-10;2022-12-10T10:55:57Z;2727;1569;british pound £;20223428;;666;1100;27510-6
2022-12-10;2022-12-10T09:47:09Z;3284;4108;dollar $;20223427;;33;3321;78129-9
2022-12-10;2022-12-10T08:56:20Z;1217;7466.72;dollar $;20223426;;666;4078;34457-3
2022-12-10;2022-12-10T03:17:48Z;4608;5536;dollar $;20223425;;290;6317;40355-9
2022-12-09;2022-12-09T22:32:34Z;2197;9406.83;dollar $;20223424;;33;1200;50136-9
2022-12-09;2022-12-09T21:11:01Z;6032;2788;dollar $;20223423;;33;4425;48631-7
2022-12-09;2022-12-09T19:01:01Z;1297;3015;british pound £;20223422;;666;1979;55724-7
2022-12-09;2022-12-09T12:23:41Z;4965;3307.98;dollar $;20223421;;666;2400;77400-8
2022-12-09;2022-12-09T11:34:02Z;3294;6101;british pound £;20223420;;666;4425;49638-5
2022-12-09;2022-12-09T10:26:29Z;3715;6093;dollar $;20223419;;666;1100;72008-6
2022-12-09;2022-12-09T06:07:08Z;5764;7672;zing ƒ;20223418;;421;6552;73596-2
2022-12-09;2022-12-09T03:46:56Z;5986;10805;dollar $;20223417;;33;1200;27025-2
2022-12-09;2022-12-09T01:56:29Z;4608;5194;british pound £;20223416;;290;4078;81925-8
2022-12-09;2022-12-09T01:45:41Z;2489;4572.74;zing ƒ;20223415;;290;1002;50061-0
2022-12-08;2022-12-08T22:24:59Z;5832;5832;british pound £;20223414;;290;2231;62085-2
2022-12-08;2022-12-08T21:02:01Z;1297;7831.97;zing ƒ;20223413;;290;1002;61102-1
2022-12-08;2022-12-08T18:42:18Z;6032;6096.12;dollar $;20223412;;290;2231;62759-9
2022-12-08;2022-12-08T18:32:35Z;5188;7264.52;dollar $;20223411;;290;9921;55888-1
2022-12-08;2022-12-08T15:52:40Z;4465;9401.64;dollar $;20223410;;33;6317;76617-9
2022-12-08;2022-12-08T14:03:40Z;1121;3748;british pound £;20223409;;421;1002;80986-8
2022-12-08;2022-12-08T12:26:53Z;4965;5461.61;dollar $;20223408;;33;4425;28093-2
2022-12-08;2022-12-08T01:29:04Z;2489;11268;zing ƒ;20223407;;290;3321;73175-1
2022-12-07;2022-12-07T23:50:47Z;1121;5034;british pound £;20223406;;33;3321;83634-0
2022-12-07;2022-12-07T21:20:51Z;2727;3255;zing ƒ;20223405;;666;1200;25123-4
2022-12-07;2022-12-07T14:22:28Z;4465;2071;zing ƒ;20223404;;666;5420;27345-9
2022-12-07;2022-12-07T10:38:36Z;3100;5367;dollar $;20223403;;33;1100;44648-3
2022-12-07;2022-12-07T02:54:48Z;4608;7932.95;dollar $;20223402;;290;2231;28051-0
2022-12-06;2022-12-06T22:28:54Z;5987;8325.19;dollar $;20223401;;33;1200;82613-0
2022-12-06;2022-12-06T16:46:38Z;4023;6565.95;dollar $;20223400;;290;1100;80341-8
2022-12-06;2022-12-06T16:37:45Z;4465;6937;dollar $;20223399;;421;1979;76048-2
2022-12-06;2022-12-06T14:20:22Z;5987;6768.34;dollar $;20223398;;421;1979;77660-7
2022-12-06;2022-12-06T06:09:48Z;5764;4715.07;british pound £;20223397;;33;2400;86179-4
2022-12-06;2022-12-06T04:01:57Z;3100;3018;euro €;20223396;;421;6552;64184-5
2022-12-06;2022-12-06T02:52:52Z;6032;8421;euro €;20223395;;666;5420;37096-2
2022-12-06;2022-12-06T00:18:48Z;3795;8336;dollar $;20223394;;666;2231;48058-7
2022-12-05;2022-12-05T20:32:43Z;5832;5473.96;british pound £;20223393;;666;5420;60013-2
2022-12-05;2022-12-05T18:27:37Z;3100;7094;dollar $;20223392;;290;1200;28169-1
2022-12-05;2022-12-05T16:53:03Z;1121;9305;british pound £;20223391;;33;4078;25872-9
2022-12-05;2022-12-05T16:33:34Z;2727;2634;dollar $;20223390;;33;3321;31445-4
2022-12-05;2022-12-05T11:03:23Z;1945;7732;british pound £;20223389;;33;5420;27322-5
2022-12-05;2022-12-05T11:01:40Z;4965;6342.36;dollar $;20223388;;666;9921;31722-7
2022-12-05;2022-12-05T09:19:57Z;5987;4077.74;euro €;20223387;;33;1100;34322-7
2022-12-05;2022-12-05T08:50:27Z;4965;5986;british pound £;20223386;;421;1200;54118-1
2022-12-05;2022-12-05T04:55:07Z;5764;9312;dollar $;20223385;;290;2231;41152-5
2022-12-05;2022-12-05T04:26:26Z;5188;8136;dollar $;20223384;;33;2231;77465-5
2022-12-05;2022-12-05T03:51:00Z;2197;8240.62;zing ƒ;20223383;408 Request Timeout;666;1100;58503-9
2022-12-05;2022-12-05T02:43:06Z;1455;3752.05;dollar $;20223382;;421;6552;47822-4
2022-12-04;2022-12-04T23:58:30Z;5188;4978.25;zing ƒ;20223381;;421;8800;44076-8
2022-12-04;2022-12-04T17:31:42Z;4965;8123;dollar $;20223380;;666;3321;54912-2
2022-12-04;2022-12-04T15:44:00Z;1297;6636;british pound £;20223379;;33;1979;70223-9
2022-12-04;2022-12-04T10:21:03Z;5987;4587;dollar $;20223378;;33;4078;70243-9
2022-12-04;2022-12-04T01:04:01Z;2489;7530.69;british pound £;20223377;;666;1979;32838-9
2022-12-04;2022-12-04T00:02:11Z;5764;8080;dollar $;20223376;;421;4425;83682-8
2022-12-03;2022-12-03T22:12:40Z;5764;3717;dollar $;20223375;;290;4078;26352-1
2022-12-03;2022-12-03T16:03:10Z;4862;5421;dollar $;20223374;;33;8800;78655-8
2022-12-03;2022-12-03T12:19:05Z;4608;6603.81;dollar $;20223373;;33;2231;67255-8
2022-12-03;2022-12-03T00:08:10Z;5832;6442.72;zing ƒ;20223372;;33;8800;60264-4
2022-12-02;2022-12-02T21:14:18Z;5243;3773.59;dollar $;20223371;;290;9921;28220-5
2022-12-02;2022-12-02T20:06:40Z;3294;1072.3;zing ƒ;20223370;;290;3321;78206-9
2022-12-02;2022-12-02T16:14:31Z;5764;1653;dollar $;20223369;;290;8800;83988-2
2022-12-02;2022-12-02T16:11:55Z;1455;9489;zing ƒ;20223368;;290;8800;42809-6
2022-12-02;2022-12-02T09:55:58Z;4862;4828;british pound £;20223367;;421;6317;57446-2
2022-12-02;2022-12-02T00:45:07Z;3795;4766;dollar $;20223366;;33;4425;26465-7
2022-12-02;2022-12-02T00:40:45Z;5986;7744;dollar $;20223365;;33;2231;52642-3
2022-12-01;2022-12-01T22:19:09Z;2489;7622.11;british pound £;20223364;;33;8521;46912-8
2022-12-01;2022-12-01T17:00:56Z;1945;8914.96;dollar $;20223363;;421;1002;75055-4
2022-12-01;2022-12-01T12:03:34Z;4608;6333.43;dollar $;20223362;;290;1100;80294-7
2022-12-01;2022-12-01T05:43:22Z;3715;11926.54;zing ƒ;20223361;;666;8521;60376-3
2022-12-01;2022-12-01T02:46:12Z;3294;1467.18;dollar $;20223360;;33;5420;51771-8
2022-12-01;2022-12-01T02:32:44Z;2489;8541.42;dollar $;20223359;;290;6552;51148-8
2022-12-01;2022-12-01T01:57:13Z;4023;4966;dollar $;20223358;;290;4425;80629-1
2022-11-30;2022-11-30T23:18:54Z;5188;1482;british pound £;20223357;;290;1002;28755-6
2022-11-30;2022-11-30T16:43:35Z;1455;5556;dollar $;20223356;;421;8521;51473-8
2022-11-30;2022-11-30T10:48:09Z;5987;7028.42;zing ƒ;20223355;;421;5420;78535-4
2022-11-30;2022-11-30T10:48:08Z;5986;2463;dollar $;20223354;;290;4078;52980-1
2022-11-30;2022-11-30T01:14:38Z;5243;6055.7;british pound £;20223353;;666;4425;59413-4
2022-11-29;2022-11-29T22:53:23Z;5516;6684;dollar $;20223352;;666;8800;30413-9
2022-11-29;2022-11-29T19:23:07Z;4862;8060;zing ƒ;20223351;;421;8800;54194-8
2022-11-29;2022-11-29T16:12:58Z;4023;10356.26;euro €;20223350;;290;5420;74336-9
2022-11-29;2022-11-29T16:01:04Z;4965;7888;dollar $;20223349;;290;8521;33812-7
2022-11-29;2022-11-29T09:06:43Z;5764;5645.46;dollar $;20223348;;421;6552;81988-0
2022-11-29;2022-11-29T06:47:48Z;3100;5428.64;dollar $;20223347;;290;1100;36602-1
2022-11-29;2022-11-29T06:45:59Z;4965;9752.16;dollar $;20223346;;290;6552;40337-5
2022-11-29;2022-11-29T05:13:47Z;4465;5268;dollar $;20223345;;666;1100;52942-6
2022-11-29;2022-11-29T00:15:36Z;4465;7853.27;zing ƒ;20223344;;290;5420;49248-7
2022-11-28;2022-11-28T22:49:09Z;4965;4768.53;euro €;20223343;;33;5420;77966-1
2022-11-28;2022-11-28T17:13:19Z;2197;6453.45;dollar $;20223342;;421;6552;29486-0
2022-11-28;2022-11-28T13:08:42Z;5832;8974;dollar $;20223341;;666;1002;40620-1
2022-11-28;2022-11-28T11:12:55Z;5764;4907;dollar $;20223340;;421;1100;58863-6
2022-11-28;2022-11-28T04:42:03Z;3100;4661;dollar $;20223339;;421;8800;48086-0
2022-11-27;2022-11-27T23:40:33Z;2727;6668;dollar $;20223338;;666;6317;70191-4
2022-11-27;2022-11-27T22:42:23Z;5764;6013.11;zing ƒ;20223337;;666;6317;80078-1
2022-11-27;2022-11-27T19:28:11Z;5764;9431.45;british pound £;20223336;;421;3321;82123-1
2022-11-27;2022-11-27T15:57:34Z;5243;8361.85;dollar $;20223335;;666;1002;84052-5
2022-11-27;2022-11-27T15:50:33Z;1121;5565;dollar $;20223334;;290;6317;75947-5
2022-11-27;2022-11-27T07:38:32Z;5188;9290.94;dollar $;20223333;;421;1979;26690-8
2022-11-27;2022-11-27T05:52:00Z;4465;7304.54;dollar $;20223332;;33;5420;83616-4
2022-11-27;2022-11-27T04:49:07Z;4862;5786.22;dollar $;20223331;;666;1979;40738-2
2022-11-27;2022-11-27T04:02:26Z;1297;7226.15;zing ƒ;20223330;;421;1979;55095-2
2022-11-27;2022-11-27T01:42:13Z;5243;4250.98;dollar $;20223329;;666;6317;33881-8
2022-11-26;2022-11-26T11:53:57Z;3284;8850;dollar $;20223328;;290;5420;70315-6
2022-11-26;2022-11-26T00:12:25Z;4608;7111;zing ƒ;20223327;;666;2231;68855-4
2022-11-25;2022-11-25T23:56:17Z;2197;5759.12;dollar $;20223326;;290;8800;82459-7
2022-11-25;2022-11-25T23:30:04Z;2489;5417.59;dollar $;20223325;;421;1100;74876-8
2022-11-25;2022-11-25T13:54:23Z;5987;4836;dollar $;20223324;;33;1200;26860-1
2022-11-25;2022-11-25T13:52:03Z;1945;7789.7;dollar $;20223323;;33;2400;70310-7
2022-11-25;2022-11-25T12:36:49Z;2727;2470;dollar $;20223322;;421;4425;64723-7
2022-11-25;2022-11-25T04:41:10Z;4465;6851;british pound £;20223321;;421;1100;41802-8
2022-11-25;2022-11-25T04:37:19Z;1945;5906.06;dollar $;20223320;;33;8521;72259-2
2022-11-24;2022-11-24T23:01:39Z;1945;174.64;dollar $;20223319;;421;2400;34025-8
2022-11-24;2022-11-24T20:08:17Z;1121;5540.45;zing ƒ;20223318;;666;5420;36206-8
2022-11-24;2022-11-24T13:03:32Z;5188;8069;zing ƒ;20223317;;33;6317;78466-4
2022-11-24;2022-11-24T10:53:39Z;5832;10410.21;dollar $;20223316;;421;3321;49019-6
2022-11-24;2022-11-24T08:29:55Z;3284;4386;dollar $;20223315;;421;8521;36935-4
2022-11-24;2022-11-24T02:44:19Z;1455;9747.67;dollar $;20223314;;421;9921;53566-2
2022-11-23;2022-11-23T23:29:20Z;5832;3252.23;dollar $;20223313;;33;1002;64293-8
2022-11-23;2022-11-23T21:32:27Z;1217;9503;dollar $;20223312;;421;9921;47372-6
2022-11-23;2022-11-23T21:00:02Z;4608;3711.57;dollar $;20223311;;290;2231;85530-5
2022-11-23;2022-11-23T20:17:53Z;4023;8646;dollar $;20223310;;421;2400;44867-4
2022-11-23;2022-11-23T18:30:31Z;2727;3912;zing ƒ;20223309;;666;6317;60173-4
2022-11-23;2022-11-23T17:56:19Z;4023;6054;dollar $;20223308;;290;2231;70763-1
2022-11-23;2022-11-23T06:45:46Z;4465;5863;dollar $;20223307;;421;2231;51856-1
2022-11-23;2022-11-23T04:48:49Z;2727;8935;british pound £;20223306;;666;1200;79185-9
2022-11-22;2022-11-22T19:57:37Z;3715;6152.89;zing ƒ;20223305;;666;1979;82166-0
2022-11-22;2022-11-22T18:06:05Z;5188;5813;dollar $;20223304;;290;8521;66706-6
2022-11-22;2022-11-22T17:05:20Z;2727;2112;dollar $;20223303;;666;4425;60900-5
2022-11-22;2022-11-22T16:12:54Z;1455;5342;dollar $;20223302;;666;2400;49569-8
2022-11-22;2022-11-22T14:31:38Z;3100;5076;zing ƒ;20223301;;33;1200;62328-7
2022-11-22;2022-11-22T09:19:01Z;5516;2710;dollar $;20223300;;666;1200;68673-4
2022-11-22;2022-11-22T08:18:42Z;5516;10177.2;dollar $;20223299;;290;1002;25003-8
2022-11-22;2022-11-22T02:46:29Z;1217;11561;dollar $;20223298;;421;8800;71340-1
2022-11-22;2022-11-22T02:36:31Z;4965;5965.84;british pound £;20223297;;290;2231;65378-6
2022-11-22;2022-11-22T02:22:24Z;1455;6088;dollar $;20223296;;421;4078;60788-4
2022-11-21;2022-11-21T22:55:56Z;5516;10740;dollar $;20223295;;421;2231;65420-3
2022-11-21;2022-11-21T20:37:59Z;3715;4079;dollar $;20223294;;290;9921;55390-2
2022-11-21;2022-11-21T15:39:58Z;4023;4410.4;british pound £;20223293;;421;6317;72039-0
2022-11-21;2022-11-21T13:35:43Z;5987;3152.47;zing ƒ;20223292;;33;1979;65809-0
2022-11-21;2022-11-21T10:52:53Z;2489;10402;dollar $;20223291;;666;6317;76450-6
2022-11-21;2022-11-21T09:48:04Z;1455;6646.3;dollar $;20223290;;33;4078;73494-3
2022-11-21;2022-11-21T08:03:19Z;3795;6751.25;dollar $;20223289;;290;6552;48720-2
2022-11-21;2022-11-21T06:58:43Z;3294;7893;dollar $;20223288;;33;8800;36566-1
2022-11-21;2022-11-21T06:02:07Z;5986;4511;dollar $;20223287;;290;5420;76440-6
2022-11-20;2022-11-20T20:57:09Z;5986;6457;zing ƒ;20223286;;666;4425;24627-8
2022-11-20;2022-11-20T19:39:41Z;1455;8493;dollar $;20223285;;290;2231;32330-8
2022-11-20;2022-11-20T19:06:19Z;4465;5677.74;zing ƒ;20223284;;290;6317;66067-0
2022-11-20;2022-11-20T16:01:20Z;2727;7696.11;dollar $;20223283;;666;1200;60202-7
